지 역,,,,2011년,2012년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,,,,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
전남,,,,92.497,93.595,94.945,92.896,91.206,91.935,93.414,95.476,97.143,97.219,98.851,102.093
,목포시,,,102.897,102.927,106.694,102.979,101.322,103.715,104.073,106.297,105.024,103.342,100.808,101.867
,여수시,,,81.925,82.386,82.561,81.85,80.885,81.099,83.917,87.696,92.157,92.578,97.035,102.269
,순천시,,,92.101,94.941,93.628,90.374,87.594,86.006,88.455,90.45,92.398,93.778,98.646,101.926
,나주시,,,-,87.687,100.301,101.47,102.131,105.369,103.871,105.253,107.195,103.419,99.723,105.624
,광양시,,,97.51,98.578,98.011,94.987,90.494,90.077,89.893,89.357,90.748,93.648,97.979,100.797
,무안군,,,-,102.831,96.435,98.837,99.081,108.783,110.771,112.05,110.151,105.265,99.173,105.64
경북,,,,88.248,89.419,95.077,104.233,111.091,115.109,110.09,105.491,99.26,93.357,94.655,103.983
,포항시,,,82.981,83.536,89.147,97.323,105.506,114.14,109.027,103.473,95.884,89.727,94.168,103.507
,,남구,,76.192,76.526,82.368,92.024,101.418,109.416,105.91,101.533,95.59,91.393,94.951,103.179
,,북구,,87.821,88.55,93.96,101.019,108.325,117.385,111.117,104.766,96.095,88.65,93.657,103.724
,경주시,,,-,86.14,92.608,103.202,113.796,118.858,113.811,108.485,96.363,89.431,93.799,103.333
,김천시,,,-,108.801,111.774,115.131,116.842,116.787,112.701,109.404,104.637,95.011,90.21,105.587
,안동시,,,-,99.854,102.39,106.011,112.338,113.145,112.578,108.988,98.655,95.436,94.731,107.859
,구미시,,,90.233,92.255,98.703,112.081,116.483,116.482,109.867,103.859,98.623,91.632,92.465,106.484
,영주시,,,-,90.819,93.407,98.851,102.436,105.055,102.447,99.202,99.539,97.748,98.58,99.727
,영천시,,,-,102.571,108.049,112.54,116.16,124.226,120.107,114.801,110.7,102.624,99.724,99.694
,상주시,,,-,90.774,95.06,99.184,99.698,99.284,98.871,100.361,103.53,101.38,99.578,100.08
,문경시,,,-,86.428,90.02,91.699,95.83,100.115,102.399,105.487,104.004,101.692,100.687,103.326
,경산시,,,78.842,81.642,88.618,97.85,109.324,114.923,107.199,103.851,99.318,95.277,96.402,100.979
,칠곡군,,,-,100.898,107.545,124.256,126.392,124.324,120.215,115.823,109.59,102.465,98.797,102.415
경남,,,,109.428,109.593,106.819,107.191,110.069,112.398,110.991,106.767,97.503,92.097,96.101,105.418
,창원시,,,110.216,110.182,107.071,107.972,111.582,113.942,110.97,102.193,92.194,87.853,97.449,107.807
,,의창구,,99.124,98.896,97.802,100.296,105.084,108.497,105.769,95.73,85.63,82.416,100.949,104.564
,,성산구,,105.783,105.811,102.158,102.376,106.607,110.694,108.942,96.87,85.409,83.246,100.267,110.816
,,마산합포구,,120.95,121.306,117.115,118.909,122.854,123.869,119.972,113.264,104.06,97.394,97.98,111.437
,,마산회원구,,121.019,121.528,118.951,118.669,121.435,122.497,118.553,112.412,101.499,94.424,96.739,106.903
,,진해구,,110.325,109.287,105.355,106.514,107.993,108.097,104.316,98.322,91.416,86.671,90.351,103.127
,진주시,,,94.143,96.914,97.19,96.101,95.384,97.317,102.276,107.066,102.458,93.661,95.829,102.142
,통영시,,,-,105.028,105.858,107.284,110.081,113.165,110.517,105.435,96.727,94.388,94.913,102.114
,사천시,,,-,109.237,108.987,107.835,110.223,115.794,121.827,124.883,117.187,104.361,101.033,101.091
,김해시,,,114.533,113.855,109.975,110.131,113.701,117.1,116.157,112.971,102.418,93.783,95.982,105.558
,밀양시,,,-,112.151,110.326,109.882,108.815,110.125,112.434,114.569,112.791,102.125,99.097,103.642
,거제시,,,140.95,141.102,135.476,138.354,149.768,149.022,134.811,123.258,98.312,96.594,96.88,104.383
,양산시,,,96.915,96.683,93.253,93.465,93.685,95.453,96.359,96.38,94.097,90.907,91.705,105.622
제주,,,,72.862,74.29,79.643,79.18,81.745,93.002,99.727,100.137,97.209,93.651,91.827,108.81
,제주시,,,71.79,73.208,78.618,77.922,80.109,91.525,97.619,97.746,94.807,91.47,90.147,110.014
,서귀포시,,,-,76.489,81.276,82.112,86.653,96.607,106.278,107.971,105.127,100.812,97.281,105.12
